ï»¿Flight Number,Code,Departure City,Arrival City,DEP. ICAO,ARR ICAO,Aircraft,Duration,Remarks,LMT
SU2859,Historic,Makhachkala (MCX),St. Petersburg (LED),URML,ULLI,A320,3:15,,12/12/2025 3:00 PM
SU2056,Historic,Moscow (SVO),Dubrovnik (DBV),UUEE,LDDU,"A321,A333",3:15,,12/12/2025 3:00 PM
SU2300,Historic,Moscow (SVO),Frankfurt (FRA),UUEE,EDDF,"A320,A321,B739,B77W",3:15,,12/12/2025 3:00 PM
SU2342,Historic,Moscow (SVO),Hanover (HAJ),UUEE,EDDV,"A320,SU95",3:15,,12/12/2025 3:00 PM
SU2610,Historic,Moscow (SVO),Ljubljana (LJU),UUEE,LJLJ,A321,3:15,,12/12/2025 3:00 PM
SU2322,Historic,Moscow (SVO),Munich (MUC),UUEE,EDDM,"A321,B739",3:15,,12/12/2025 3:00 PM
SU2452,Historic,Moscow (SVO),Paris (CDG),UUEE,LFPG,"A320,A321",3:15,,12/12/2025 3:00 PM
SU1122,AFL,Moscow (SVO),Sochi (AER),UUEE,URSS,"A321,A21N,B77W,A333",3:15,,12/12/2025 3:03 PM
SU1890,AFL,Moscow (SVO),Tashkent (TAS),UUEE,UTTT,"A333,A359",3:15,,12/12/2025 3:00 PM
SU2052,Historic,Moscow (SVO),Tivat (TIV),UUEE,LYTV,B739,3:15,,12/12/2025 3:00 PM
SU2323,Historic,Munich (MUC),Moscow (SVO),EDDM,UUEE,"A321,B739",3:15,,12/12/2025 3:00 PM
SU1763,AFL,Omsk (OMS),Moscow (SVO),UNOO,UUEE,"A320,A20N,A321,B739",3:15,,12/12/2025 3:00 PM
SU2453,Historic,Paris (CDG),Moscow (SVO),LFPG,UUEE,"A320,A321",3:15,,12/12/2025 3:00 PM
SU1177,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A321,A21N",3:15,,12/12/2025 3:00 PM
SU1117,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A321,A21N,A333,A359,B739,B77W",3:15,,12/12/2025 3:00 PM
SU1129,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A321",3:15,,12/12/2025 3:00 PM
SU2053,Historic,TiVat (TIV),Moscow (SVO),LYTV,UUEE,B739,3:15,,12/12/2025 3:00 PM
SU684,Summer,Yekaterinburg (SVX),Yerevan (EVN),URSS,UDYZ,B739,3:15,,12/12/2025 3:00 PM
SU616,Winter,Yekaterinburg (SVX),Yerevan (EVN),URSS,UDYZ,B739,3:15,,12/12/2025 3:00 PM
SU2193,Historic,Amsterdam (AMS),Moscow (SVO),EHAM,UUEE,"A320,A20N",3:10,,12/12/2025 3:00 PM
SU2315,Historic,Berlin Branderburg (BER),Moscow (SVO),EDDB,UUEE,"A320,A321,B739",3:10,,12/12/2025 3:00 PM
SU2425,Historic,Bologna (BLQ),Moscow (SVO),LIPE,UUEE,"A320,B739",3:10,,12/12/2025 3:00 PM
SU2953,Summer,Chelyabinsk (CEK),Sochi (AER),USCC,URSS,A320,3:10,,12/12/2025 3:00 PM
SU2155,Historic,Dusseldorf (DUS),Moscow (SVO),EDDL,UUEE,A321,3:10,,12/12/2025 3:00 PM
SU1829,AFL,Ganja (GNJ),Moscow (SVO),UBBG,UUEE,A320,3:10,,12/12/2025 3:00 PM
SU2347,Historic,Hamburg (HAM),Moscow (SVO),EDDH,UUEE,A320 B739,3:10,,12/12/2025 3:00 PM
SU2192,Historic,Moscow (SVO),Amsterdam (AMS),UUEE,EHAM,"A320,A20N",3:10,,12/12/2025 3:00 PM
SU2314,Historic,Moscow (SVO),Berlin Branderburg (BER),UUEE,EDDB,"A320,A321,B739",3:10,,12/12/2025 3:00 PM
SU2424,Historic,Moscow (SVO),Bologna (BLQ),UUEE,LIPE,"A320,B739",3:10,,12/12/2025 3:00 PM
SU2154,Historic,Moscow (SVO),Dusseldorf (DUS),UUEE,EDDL,A321,3:10,,12/12/2025 3:00 PM
SU2346,Historic,Moscow (SVO),Hamburg (HAM),UUEE,EDDH,A320 B739,3:10,,12/12/2025 3:00 PM
SU1864,Winter,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,"A21N,A333,B739",3:10,,12/12/2025 3:00 PM
SU1862,AFL,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,B739,3:10,,12/12/2025 3:00 PM
SU1860,AFL,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,B739,3:10,,12/12/2025 3:00 PM
SU2040,Historic,Moscow (SVO),Zagreb (ZAG),UUEE,LDZA,A320,3:10,,12/12/2025 3:00 PM
SU2821,Summer,Perm (PEE),Mineralnye Vody (MRV),USPP,URMM,A320,3:10,,12/12/2025 3:00 PM
SU2941,Historic,Simferopol (SIP),Simferopol (SIP),URFF,UWUU,A320,3:10,,12/12/2025 3:00 PM
SU2952,Summer,Sochi (AER),Chelyabinsk (CEK),URSS,USCC,A320,3:10,,12/12/2025 3:00 PM
SU1123,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A321,A21N",3:10,,12/12/2025 3:00 PM
SU1611,Winter,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A20N,A321",3:10,,12/12/2025 3:00 PM
SU1111,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,"A20N,A321",3:10,,12/12/2025 3:00 PM
SU1127,Winter,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A321,A21N",3:10,,12/12/2025 3:00 PM
SU1135,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A321,B739",3:10,,12/12/2025 3:00 PM
SU1137,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A321,A21N,B739",3:10,,12/12/2025 3:00 PM
SU1125,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A20N,A321,A21N",3:10,,12/12/2025 3:00 PM
SU1131,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,A320,3:10,,12/12/2025 3:00 PM
SU2914,Summer,Sochi (AER),Perm (PEE),URSS,USPP,A320,3:10,,12/12/2025 3:00 PM
SU1517,Summer,Surgut (SGC),Moscow (SVO),USRR,UUEE,"A320,A20N",3:10,,12/12/2025 3:00 PM
SU1513,AFL,Surgut (SGC),Moscow (SVO),USRR,UUEE,"A320,A20N,A321",3:10,,12/12/2025 3:00 PM
SU1511,AFL,Surgut (SGC),Moscow (SVO),USRR,UUEE,"A320,A20N,A321,A21N",3:10,,12/12/2025 3:00 PM
SU2933,Summer,Ufa (UFA),Sochi (AER),UWUU,URSS,A320,3:10,,12/12/2025 3:00 PM
SU2940,Historic,Ufa (UFA),Ufa (UFA),UWUU,URFF,A320,3:10,,12/12/2025 3:00 PM
SU2817,Summer,Yekaterinburg (SVX),Mineralnye Vody (MRV),USSS,URMM,A320,3:10,,12/12/2025 3:00 PM
SU1867,Summer,YereVan (EVN),Moscow (SVO),UDYZ,UUEE,"A320,A321,B739",3:10,,12/12/2025 3:00 PM
SU1861,AFL,YereVan (EVN),Moscow (SVO),UDYZ,UUEE,B739,3:10,,12/12/2025 3:00 PM
SU685,Summer,YereVan (EVN),Yekaterinburg (SVX),UDYZ,USSS,B739,3:10,,1/6/2026 2:53 AM
SU2041,Historic,Zagreb (ZAG),Moscow (SVO),LDZA,UUEE,A320,3:10,,12/12/2025 3:00 PM
SU1855,AFL,Baku (GYD),Moscow (SVO),UBBB,UUEE,"A321,B739",3:05,,12/12/2025 3:00 PM
SU833,Historic,Issyk-Kul (IKU),Yekaterinburg (SVX),UCFL,USSS,A320,3:05,,12/12/2025 3:00 PM
SU2935,Summer,Kazan (KZN),Sochi (AER),UWKD,URSS,A320,3:05,,12/12/2025 3:00 PM
SU1079,Historic,Magas (IGT),Moscow (SVO),URMS,UUEE,A320,3:05,,12/12/2025 3:00 PM
SU1986,Summer,Moscow (SVO),Astana (NQZ),UUEE,UACC,A333,3:05,,12/12/2025 3:00 PM
SU1936,AFL,Moscow (SVO),Karaganda (KGF),UUEE,UAKK,"A320,B739",3:05,,12/12/2025 3:00 PM
SU1078,Historic,Moscow (SVO),Magas (IGT),UUEE,URMS,A320,3:05,,12/12/2025 3:00 PM
SU1344,Winter,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,A321,3:05,,12/12/2025 3:00 PM
SU1520,Summer,Moscow (SVO),Novy Urengoy (NUX),UUEE,USMU,"A320,A20N,A321,A21N",3:05,,12/12/2025 3:00 PM
SU2174,Historic,Moscow (SVO),Oslo (OSL),UUEE,ENGM,A320,3:05,,12/12/2025 3:00 PM
SU2482,Historic,Moscow (SVO),Verona (VRN),UUEE,LIPX,"A320,SU95",3:05,,12/12/2025 3:00 PM
SU1868,Summer,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,"A321,B739",3:05,,12/12/2025 3:00 PM
SU1866,Summer,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,"A320,A321,B739",3:05,,12/12/2025 3:00 PM
SU2175,Historic,Oslo (OSL),Moscow (SVO),ENGM,UUEE,A320,3:05,,12/12/2025 3:00 PM
SU1141,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A321",3:05,,12/12/2025 3:00 PM
SU1139,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,"A321,A21N",3:05,,12/12/2025 3:00 PM
SU1133,AFL,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A321",3:05,,12/12/2025 3:00 PM
SU1151,Winter,Sochi (AER),Moscow (SVO),URSS,UUEE,"A321,B739",3:05,,12/12/2025 3:00 PM
SU1045,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,A320,3:05,,12/12/2025 3:00 PM
SU1119,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,"A20N,A321,B77W",3:05,,12/12/2025 3:00 PM
SU1153,Winter,Sochi (AER),Moscow (SVO),URSS,UUEE,"A320,A321,A21N",3:05,,12/12/2025 3:00 PM
SU2483,Historic,Verona (VRN),Moscow (SVO),LIPX,UUEE,"A320,SU95",3:05,,12/12/2025 3:00 PM
SU832,Historic,Yekaterinburg (SVX),Issyk-Kul (IKU),USSS,UCFL,A320,3:05,,12/12/2025 3:00 PM
SU1965,Winter,YereVan (EVN),Moscow (SVO),UDYZ,UUEE,B739,3:05,,12/12/2025 3:00 PM
SU1969,Summer,YereVan (EVN),Moscow (SVO),UDYZ,UUEE,B739,3:05,,12/12/2025 3:00 PM
SU1865,Winter,YereVan (EVN),Moscow (SVO),UDYZ,UUEE,"A21N,A333,B739",3:05,,12/12/2025 3:00 PM
SU2955,Historic,Anapa (AAQ),Chelyabinsk (CEK),URKA,USCC,A320,3:00,,12/12/2025 3:00 PM
SU2911,Historic,Anapa (AAQ),Perm (PEE),URKA,USPP,A320,3:00,,12/12/2025 3:00 PM
SU1851,AFL,Baku (GYD),Moscow (SVO),UBBB,UUEE,B739,3:00,,12/12/2025 3:00 PM
SU1857,AFL,Baku (GYD),Moscow (SVO),UBBB,UUEE,A320,3:00,,12/12/2025 3:00 PM
SU2954,Historic,Chelyabinsk (CEK),Anapa (AAQ),USCC,URKA,A320,3:00,,12/12/2025 3:00 PM
SU765,Summer,Dubai (DWC),Sochi (AER),OMDW,URSS,A320,3:00,,12/12/2025 3:00 PM
SU1385,Summer,Khanty-Mansiysk (HMA),Moscow (SVO),USHH,UUEE,"A320,B739",3:00,,12/12/2025 3:00 PM
SU2866,Historic,Krasnoyarsk (KJA),Tyumen (TJM),UNKL,USTR,B739,3:00,,12/12/2025 3:00 PM
SU1338,Summer,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A320,A321",3:00,,12/12/2025 3:00 PM
SU1310,AFL,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A320,A20N,A321",3:00,,12/12/2025 3:00 PM
SU1312,AFL,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A320,A20N,A321,B739",3:00,,12/12/2025 3:00 PM
SU1302,AFL,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A320,A20N,A321",3:00,,12/12/2025 3:00 PM
SU1646,AFL,Moscow (SVO),Nizhnevartovsk (NJC),UUEE,USNN,"A320,A321,B739",3:00,,12/12/2025 3:00 PM
SU1472,AFL,Moscow (SVO),Nizhnevartovsk (NJC),UUEE,USNN,"A320,A20N,A321,A21N,B739",3:00,,12/12/2025 3:00 PM
SU1522,AFL,Moscow (SVO),Novy Urengoy (NUX),UUEE,USMU,"A320,A321,A21N",3:00,,12/12/2025 3:00 PM
SU1762,AFL,Moscow (SVO),Omsk (OMS),UUEE,UNOO,"A320,A20N,A321,B739",3:00,,12/12/2025 3:00 PM
SU2050,Historic,Moscow (SVO),Podgorica (TGD),UUEE,LYPG,A321,3:00,,12/12/2025 3:00 PM
SU1366,AFL,Moscow (SVO),Stavropol (STW),UUEE,URMT,"A320,B739",3:00,,12/12/2025 3:00 PM
SU1964,Winter,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,B739,3:00,,12/12/2025 3:00 PM
SU1968,Summer,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,B739,3:00,,12/12/2025 3:00 PM
SU2910,Historic,Perm (PEE),Anapa (AAQ),USPP,URKA,A320,3:00,,12/12/2025 3:00 PM
SU2051,Historic,Podgorica (TGD),Moscow (SVO),LYPG,UUEE,A321,3:00,,12/12/2025 3:00 PM
SU764,Summer,Sochi (AER),Dubai (DWC),URSS,OMDW,A320,3:00,,12/12/2025 3:00 PM
SU600,Historic,St. Petersburg (LED),Zagreb (ZAG),ULLI,LDZA,A320,3:00,,12/12/2025 3:00 PM
SU2867,Historic,Tyumen (TJM),Krasnoyarsk (KJA),USTR,UNKL,B739,3:00,,12/12/2025 3:00 PM
SU617,Winter,YereVan (EVN),Yekaterinburg (SVX),UDYZ,USSS,B739,3:00,,1/6/2026 2:54 AM
SU601,Historic,Zagreb (ZAG),St. Petersburg (LED),LDZA,ULLI,A320,3:00,,12/12/2025 3:00 PM
SU2839,Historic,Belgrade (BEG),St. Petersburg (LED),LYBE,ULLI,A320,2:55,,12/12/2025 3:00 PM
SU2035,Historic,Bucharest (OTP),Moscow (SVO),LROP,UUEE,SU95,2:55,,12/12/2025 3:00 PM
SU1845,Historic,ChiÅinÄu - (KIV),Moscow (SVO),LUKK,UUEE,A320,2:55,,12/12/2025 3:00 PM
SU1961,Historic,Gyumri (LWN),Moscow (SVO),UDSG,UUEE,A320,2:55,,12/12/2025 3:00 PM
SU2820,Summer,Mineralnye Vody (MRV),Perm (PEE),URMM,USPP,A320,2:55,,12/12/2025 3:00 PM
SU1962,AFL,Moscow (SVO),Astana (NQZ),UUEE,UACC,"A320,A321,B739",2:55,,12/12/2025 3:00 PM
SU1850,AFL,Moscow (SVO),Baku (GYD),UUEE,UBBB,B739,2:55,,12/12/2025 3:00 PM
SU2034,Historic,Moscow (SVO),Bucharest (OTP),UUEE,LROP,SU95,2:55,,12/12/2025 3:00 PM
SU1844,Historic,Moscow (SVO),ChiÅinÄu (KIV),UUEE,LUKK,A320,2:55,,12/12/2025 3:00 PM
SU1960,Historic,Moscow (SVO),Gyumri (LWN),UUEE,UDSG,A320,2:55,,12/12/2025 3:00 PM
SU1336,Summer,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,A320,2:55,,12/12/2025 3:00 PM
SU1300,AFL,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A320,A321",2:55,,12/12/2025 3:00 PM
SU1304,Summer,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A20N,A321,B739",2:55,,12/12/2025 3:00 PM
SU1314,AFL,Moscow (SVO),Mineralnye Vody (MRV),UUEE,URMM,"A320,A321",2:55,,12/12/2025 3:00 PM
SU2010,Historic,Moscow (SVO),Prague (PRG),UUEE,LKPR,"A321,B739",2:55,,12/12/2025 3:00 PM
SU1362,Summer,Moscow (SVO),Stavropol (STW),UUEE,URMT,A320,2:55,,12/12/2025 3:00 PM
SU2011,Historic,Prague (PRG),Moscow (SVO),LKPR,UUEE,"A321,B739",2:55,,12/12/2025 3:00 PM
SU1115,Summer,Sochi (AER),Moscow (SVO),URSS,UUEE,A321,2:55,,12/12/2025 3:00 PM
SU2838,Historic,St. Petersburg (LED),Belgrade (BEG),ULLI,LYBE,A320,2:55,,12/12/2025 3:00 PM
SU2854,Historic,St. Petersburg (LED),Tobolsk Remezov (RMZ),ULLI,USTJ,"A320,SU95",2:55,,12/12/2025 3:00 PM
SU1367,AFL,StaVropol (STW),Moscow (SVO),URMT,UUEE,"A320,B739",2:55,,12/12/2025 3:00 PM
SU2855,Historic,Tobolsk RemezoV (RMZ),St. Petersburg (LED),USTJ,ULLI,"A320,SU95",2:55,,12/12/2025 3:00 PM
SU1869,Summer,YereVan (EVN),Moscow (SVO),UDYZ,UUEE,"A321,B739",2:55,,12/12/2025 3:00 PM
SU1955,AFL,Aktau (SCO),Moscow (SVO),UATE,UUEE,A320,2:50,,12/12/2025 3:00 PM
SU2091,Historic,Belgrade (BEG),Moscow (SVO),LYBE,UUEE,"A320,A321,A21N,A333",2:50,,12/12/2025 3:00 PM
SU2345,Historic,Dresden (DRS),Moscow (SVO),EDDC,UUEE,"A320,SU95",2:50,,12/12/2025 3:00 PM
SU2948,Historic,Kazan (KZN),Simferopol (SIP),UWKD,URFF,A320,2:50,,12/12/2025 3:00 PM
SU1383,AFL,Khanty-Mansiysk (HMA),Moscow (SVO),USHH,UUEE,"A320,A321,A21N",2:50,,12/12/2025 3:00 PM
SU1301,AFL,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A320,A321",2:50,,12/12/2025 3:00 PM
SU1305,Summer,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A20N,A321,B739",2:50,,12/12/2025 3:00 PM
SU1337,Summer,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,A320,2:50,,12/12/2025 3:00 PM
SU1313,AFL,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A320,A20N,A321,B739",2:50,,12/12/2025 3:00 PM
SU2816,Summer,Mineralnye Vody (MRV),Yekaterinburg (SVX),URMM,USSS,A320,2:50,,12/12/2025 3:00 PM
SU1956,AFL,Moscow (SVO),Astana (NQZ),UUEE,UACC,"A320,A321,B739",2:50,,12/12/2025 3:00 PM
SU1856,AFL,Moscow (SVO),Baku (GYD),UUEE,UBBB,A320,2:50,,12/12/2025 3:00 PM
SU2090,Historic,Moscow (SVO),Belgrade (BEG),UUEE,LYBE,"A320,A321,A21N,A333",2:50,,12/12/2025 3:00 PM
SU2030,Historic,Moscow (SVO),Budapest (BUD),UUEE,LHBP,A321,2:50,,12/12/2025 3:00 PM
SU1876,AFL,Moscow (SVO),Bukhara (BHK),UUEE,UTSB,"A320,A20N",2:50,,12/12/2025 3:00 PM
SU2344,Historic,Moscow (SVO),Dresden (DRS),UUEE,EDDC,"A320,SU95",2:50,,12/12/2025 3:00 PM
SU1828,AFL,Moscow (SVO),Ganja (GNJ),UUEE,UBBG,A320,2:50,,12/12/2025 3:00 PM
SU1636,Summer,Moscow (SVO),Omsk (OMS),UUEE,UNOO,"A320,A20N,B739",2:50,,12/12/2025 3:00 PM
SU1637,AFL,Moscow (SVO),Omsk (OMS),UUEE,UNOO,"A320,A20N,A321,B739",2:50,,12/12/2025 3:00 PM
SU1364,AFL,Moscow (SVO),Stavropol (STW),UUEE,URMT,"A320,A20N,B739",2:50,,12/12/2025 3:00 PM
SU1516,Summer,Moscow (SVO),Surgut (SGC),UUEE,USRR,"A320,A20N",2:50,,12/12/2025 3:00 PM
SU1966,Summer,Moscow (SVO),Yerevan (EVN),UUEE,UDYZ,"A320,A321,B739",2:50,,12/12/2025 3:00 PM
SU2957,Summer,Samara (KUF),Sochi (AER),UWWW,URSS,A320,2:50,,12/12/2025 3:00 PM
SU2949,Historic,Simferopol (SIP),Kazan (KZN),URFF,UWKD,A320,2:50,,12/12/2025 3:00 PM
SU2956,Summer,Sochi (AER),Samara (KUF),URSS,UWWW,A320,2:50,,12/12/2025 3:00 PM
SU2932,Summer,Sochi (AER),Ufa (UFA),URSS,UWUU,A320,2:50,,12/12/2025 3:00 PM
SU2834,Historic,St. Petersburg (LED),Surgut (SGC),ULLI,URSS,A320,2:50,,12/12/2025 3:00 PM
SU1363,Summer,StaVropol (STW),Moscow (SVO),URMT,UUEE,A320,2:50,,12/12/2025 3:00 PM
SU1365,AFL,StaVropol (STW),Moscow (SVO),URMT,UUEE,"A320,A20N,B739",2:50,,12/12/2025 3:00 PM
SU779,Summer,Istanbul (IST),Sochi (AER),LTFM,URSS,A320,2:45,,12/12/2025 3:00 PM
SU2823,Summer,Kazan (KZN),Mineralnye Vody (MRV),UWKD,URMM,A320,2:45,,12/12/2025 3:00 PM
SU1311,AFL,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A320,A20N,A321",2:45,,12/12/2025 3:00 PM
SU1303,AFL,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A320,A20N,A321",2:45,,12/12/2025 3:00 PM
SU1345,Winter,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,A321,2:45,,12/12/2025 3:00 PM
SU1854,AFL,Moscow (SVO),Baku (GYD),UUEE,UBBB,"A321,B739",2:45,,12/12/2025 3:00 PM
SU1512,AFL,Moscow (SVO),Surgut (SGC),UUEE,USRR,"A320,A20N,A321",2:45,,12/12/2025 3:00 PM
SU1510,AFL,Moscow (SVO),Surgut (SGC),UUEE,USRR,"A320,A20N,A321,A21N",2:45,,12/12/2025 3:00 PM
SU778,Summer,Sochi (AER),Istanbul (IST),URSS,LTFM,A320,2:45,,12/12/2025 3:00 PM
SU2934,Summer,Sochi (AER),Kazan (KZN),URSS,UWKD,A320,2:45,,12/12/2025 3:00 PM
SU1569,Summer,Tyumen (TJM),Moscow (SVO),USTR,UUEE,"A320,A321,B739",2:45,,12/12/2025 3:00 PM
SU1501,Summer,Tyumen (TJM),Moscow (SVO),USTR,UUEE,"A320,A20N,A321,B739",2:45,,12/12/2025 3:00 PM
SU2950,Historic,Kazan (KZN),Krasnodar (KRR),UWKD,URKK,A320,2:40,,12/12/2025 3:00 PM
SU2951,Historic,Krasnodar (KRR),Kazan (KZN),URKK,UWKD,A320,2:40,,12/12/2025 3:00 PM
SU826,Historic,Krasnodar (KRR),Minsk (MSQ),URKK,UMMS,A320,2:40,,12/12/2025 3:00 PM
SU1059,AFL,Makhachkala (MCX),Moscow (SVO),URML,UUEE,"A320,A20N,A321",2:40,,12/12/2025 3:00 PM
SU1055,AFL,Makhachkala (MCX),Moscow (SVO),URML,UUEE,"A320,A20N",2:40,,12/12/2025 3:00 PM
SU1053,AFL,Makhachkala (MCX),Moscow (SVO),URML,UUEE,A320,2:40,,12/12/2025 3:00 PM
SU1057,AFL,Makhachkala (MCX),Moscow (SVO),URML,UUEE,"A320,A20N,A321",2:40,,12/12/2025 3:00 PM
SU1315,AFL,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A320,A321",2:40,,12/12/2025 3:00 PM
SU1339,Summer,Mineralnye Vody (MRV),Moscow (SVO),URMM,UUEE,"A320,A321",2:40,,12/12/2025 3:00 PM
SU2818,Summer,Mineralnye Vody (MRV),Ufa (UFA),URMM,UWUU,A320,2:40,,12/12/2025 3:00 PM
SU827,Historic,Minsk (MSQ),Krasnodar (KRR),UMMS,URKK,A320,2:40,,12/12/2025 3:00 PM
SU1954,AFL,Moscow (SVO),Aktau (SCO),UUEE,UATE,A320,2:40,,12/12/2025 3:00 PM
SU1498,AFL,Moscow (SVO),Grozny (GRV),UUEE,URMG,"A320,A20N,B739",2:40,,12/12/2025 3:00 PM
SU1496,AFL,Moscow (SVO),Grozny (GRV),UUEE,URMG,"A320,A20N,B739",2:40,,12/12/2025 3:00 PM
SU1580,Historic,Moscow (SVO),Simferopol (SIP,UUEE,URFF,"A320,A20N,A321,A333,B739,B77W",2:40,,12/12/2025 3:00 PM
SU2853,Winter,Orenburg (REN),St. Petersburg (LED),UWOO,ULLI,A320,2:40,,12/12/2025 3:00 PM
SU1581,Historic,Simferopol (SIP,Moscow (SVO),URFF,UUEE,"A320,A20N,A321,A333,B739,B77W",2:40,,12/12/2025 3:00 PM
SU1507,Winter,Tyumen (TJM),Moscow (SVO),USTR,UUEE,"A320,A20N,A321",2:40,,12/12/2025 3:00 PM
SU1505,AFL,Tyumen (TJM),Moscow (SVO),USTR,UUEE,"A320,A20N",2:40,,12/12/2025 3:00 PM
SU1503,AFL,Tyumen (TJM),Moscow (SVO),USTR,UUEE,"A320,A20N,A321,B739",2:40,,12/12/2025 3:00 PM
SU2864,Historic,Anapa (AAQ),Ufa (UFA),URKA,UWUU,A320,2:35,,12/12/2025 3:00 PM
SU1499,AFL,Grozny (GRV),Moscow (SVO),URMG,UUEE,"A320,A20N,B739",2:35,,12/12/2025 3:00 PM
SU1051,Summer,Makhachkala (MCX),Moscow (SVO),URML,UUEE,"A320,A20N,A321,B739",2:35,,12/12/2025 3:00 PM
SU2824,Summer,Mineralnye Vody (MRV),Samara (KUF),URMM,UWWW,A320,2:35,,12/12/2025 3:00 PM
SU1050,Summer,Moscow (SVO),Makhachkala (MCX),UUEE,URML,"A320,A20N,A321,B739",2:35,,12/12/2025 3:00 PM
SU1054,AFL,Moscow (SVO),Makhachkala (MCX),UUEE,URML,"A320,A20N",2:35,,12/12/2025 3:00 PM
SU1052,AFL,Moscow (SVO),Makhachkala (MCX),UUEE,URML,A320,2:35,,12/12/2025 3:00 PM
SU1058,AFL,Moscow (SVO),Makhachkala (MCX),UUEE,URML,"A320,A20N,A321",2:35,,12/12/2025 3:00 PM
SU2825,Summer,Samara (KUF),Mineralnye Vody (MRV),UWWW,URMM,A320,2:35,,12/12/2025 3:00 PM
SU2865,Historic,Ufa (UFA),Anapa (AAQ),UWUU,URKA,A320,2:35,,12/12/2025 3:00 PM
SU2819,Summer,Ufa (UFA),Mineralnye Vody (MRV),UWUU,URMM,A320,2:35,,12/12/2025 3:00 PM
SU2907,Historic,Anapa (AAQ),Kazan (KZN),URKA,UWKD,A320,2:30,,12/12/2025 3:00 PM
SU1173,AFL,Astrakhan (ASF),Moscow (SVO),URWA,UUEE,"A320,A20N,A321,B739",2:30,,12/12/2025 3:00 PM
SU1959,AFL,Atyrau (GUW),Moscow (SVO),UATG,UUEE,A320,2:30,,12/12/2025 3:00 PM
SU2031,Historic,Budapest (BUD),Moscow (SVO),LHBP,UUEE,A321,2:30,,12/12/2025 3:00 PM
SU1497,AFL,Grozny (GRV),Moscow (SVO),URMG,UUEE,"A320,A20N,B739",2:30,,12/12/2025 3:00 PM
SU711,Historic,Hamburg (HAM),St. Petersburg (LED),EDDH,ULLI,A320,2:30,,12/12/2025 3:00 PM
SU2906,Historic,Kazan (KZN),Anapa (AAQ),UWKD,URKA,A320,2:30,,12/12/2025 3:00 PM
SU1382,AFL,Moscow (SVO),Khanty-Mansiysk (HMA),UUEE,USHH,"A320,A321,A21N",2:30,,12/12/2025 3:00 PM
SU1384,Summer,Moscow (SVO),Khanty-Mansiysk (HMA),UUEE,USHH,"A320,B739",2:30,,12/12/2025 3:00 PM
SU1056,AFL,Moscow (SVO),Makhachkala (MCX),UUEE,URML,"A320,A20N,A321",2:30,,12/12/2025 3:00 PM
SU710,Historic,St. Petersburg (LED),Hamburg (HAM),ULLI,EDDH,A320,2:30,,12/12/2025 3:00 PM
SU2852,Winter,St. Petersburg (LED),Orenburg (REN),ULLI,UWOO,A320,2:30,,12/12/2025 3:00 PM
SU844,Historic,Voronezh (VOZ),Yerevan (EVN),UUOO,UDYZ,A320,2:30,,12/12/2025 3:00 PM
SU1021,Summer,Yekaterinburg (SVX),Moscow (SVO),USSS,UUEE,"A320,A321,B739",2:30,,12/12/2025 3:00 PM
